ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
12,100,0.0015,0.006,5e-05,-15.342144976702022
12,100,0.002,0.006,5e-05,-17.043896396208325
12,100,0.0005,0.008,5e-05,-20.021917008698342
12,100,0.001,0.008,5e-05,-21.89114884018619
12,100,0.0015,0.008,5e-05,-17.58097379602972
12,100,0.002,0.008,5e-05,-21.840203187847084
12,100,0.0005,0.01,5e-05,-20.995866903121996
12,100,0.001,0.01,5e-05,-24.404021490434303
12,100,0.0015,0.01,5e-05,-18.873976401869598
12,100,0.002,0.01,5e-05,-20.67194957868763
12,100,0.0005,0.002,0.0001,-23.346404185630043
12,100,0.001,0.002,0.0001,-18.303608818455942
12,100,0.0015,0.002,0.0001,-7.778560859979466
12,100,0.002,0.002,0.0001,-6.924460741629379
12,100,0.0005,0.006,0.0001,-20.997679391644297
12,100,0.001,0.006,0.0001,-17.915922569110933
12,100,0.0015,0.006,0.0001,-12.561632233722309
12,100,0.002,0.006,0.0001,-8.888286548867441
12,100,0.0005,0.008,0.0001,-25.25262989301389
12,100,0.001,0.008,0.0001,-19.08069221353483
12,100,0.0015,0.008,0.0001,-14.314131000004004
12,100,0.002,0.008,0.0001,-12.277955624888659
12,100,0.0005,0.01,0.0001,-24.504928554370174
12,100,0.001,0.01,0.0001,-20.828832080873806
12,100,0.0015,0.01,0.0001,-12.569814290362347
12,100,0.002,0.01,0.0001,-11.351832009003559
12,100,0.0005,0.002,0.0002,-33.19170305212721
12,100,0.001,0.002,0.0002,-23.872804568016225
12,100,0.0015,0.002,0.0002,-19.004682489221413
12,100,0.002,0.002,0.0002,-13.266865796894422
12,100,0.0005,0.006,0.0002,-30.229801795596746
12,100,0.001,0.006,0.0002,-20.572733887197803
12,100,0.0015,0.006,0.0002,-13.187611506668107
12,100,0.002,0.006,0.0002,-7.915562089735307
12,100,0.0005,0.008,0.0002,-32.7485012975077
12,100,0.001,0.008,0.0002,-22.655418914929182
12,100,0.0015,0.008,0.0002,-19.053954223448123
12,100,0.002,0.008,0.0002,-14.22425798972804
12,100,0.0005,0.01,0.0002,-33.82944226365608
12,100,0.001,0.01,0.0002,-23.874083828246174
