ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
1,200,0.0015,0.006,5e-06,-4.6218245691667
1,200,0.002,0.006,5e-06,-4.498924079730305
1,200,0.003,0.006,5e-06,-3.767870956457675
1,200,0.005,0.006,5e-06,-2.0395995872979134
1,200,0.0015,0.008,5e-06,-5.879631795687845
1,200,0.002,0.008,5e-06,-6.134659891468708
1,200,0.003,0.008,5e-06,-5.793802524016511
1,200,0.005,0.008,5e-06,-4.101915671742084
1,200,0.0015,0.01,5e-06,-6.245746807964214
1,200,0.002,0.01,5e-06,-5.696871928781732
1,200,0.003,0.01,5e-06,-4.846251389152312
1,200,0.005,0.01,5e-06,-2.7490366785071663
1,200,0.0015,0.002,1e-05,-5.3012793781589185
1,200,0.002,0.002,1e-05,-4.7787276895057795
1,200,0.003,0.002,1e-05,-3.354359058377565
1,200,0.005,0.002,1e-05,-2.390082196860621
1,200,0.0015,0.006,1e-05,-6.983240230030097
1,200,0.002,0.006,1e-05,-6.646667457488398
1,200,0.003,0.006,1e-05,-4.853613533516842
1,200,0.005,0.006,1e-05,-1.6308562874737698
1,200,0.0015,0.008,1e-05,-9.16449571280813
1,200,0.002,0.008,1e-05,-9.199835100022636
1,200,0.003,0.008,1e-05,-7.825350135203624
1,200,0.005,0.008,1e-05,-4.853598560806782
1,200,0.0015,0.01,1e-05,-8.351062395847919
1,200,0.002,0.01,1e-05,-7.553870893983117
1,200,0.003,0.01,1e-05,-5.556412518635279
1,200,0.005,0.01,1e-05,-1.9254780496187895
1,200,0.0015,0.002,5e-05,-7.12489333009656
1,200,0.002,0.002,5e-05,-4.999983956529242
1,200,0.003,0.002,5e-05,-2.74403102676406
1,200,0.005,0.002,5e-05,1.0343232800672952
1,200,0.0015,0.006,5e-05,-15.039444811843804
1,200,0.002,0.006,5e-05,-16.3857864251718
1,200,0.003,0.006,5e-05,-15.743445244018883
1,200,0.005,0.006,5e-05,-13.879388537077276
1,200,0.0015,0.008,5e-05,-16.976341933667616
1,200,0.002,0.008,5e-05,-18.31452411861565
1,200,0.003,0.008,5e-05,-17.899320199736025
1,200,0.005,0.008,5e-05,-15.33497577789138
1,200,0.0015,0.01,5e-05,-15.6322888438703
1,200,0.002,0.01,5e-05,-17.760132223676774
1,200,0.003,0.01,5e-05,-18.264176661876352
1,200,0.005,0.01,5e-05,-16.336956874971463
4,200,0.0015,0.002,1e-06,-0.34363196989043443
4,200,0.002,0.002,1e-06,-0.9398993566306801
4,200,0.003,0.002,1e-06,-1.2369405129308175
4,200,0.005,0.002,1e-06,-1.3596268552391155
4,200,0.0015,0.006,1e-06,-0.6315853256395165
4,200,0.002,0.006,1e-06,-0.6258963813151053
4,200,0.003,0.006,1e-06,-0.6389498050863196
4,200,0.005,0.006,1e-06,-0.5628666010103367
4,200,0.0015,0.008,1e-06,0.9319323934635637
4,200,0.002,0.008,1e-06,0.9881141818865125
4,200,0.003,0.008,1e-06,1.075642168100499
4,200,0.005,0.008,1e-06,1.147477211394099
4,200,0.0015,0.01,1e-06,0.9319323934635637
4,200,0.002,0.01,1e-06,0.9881141818865125
4,200,0.003,0.01,1e-06,1.075642168100499
4,200,0.005,0.01,1e-06,1.147477211394099
4,200,0.0015,0.002,5e-06,-0.9571047177729275
4,200,0.002,0.002,5e-06,-0.8690870948251161
4,200,0.003,0.002,5e-06,-0.5213409671011027
4,200,0.005,0.002,5e-06,-0.11496496701787207
4,200,0.0015,0.006,5e-06,-3.0803600587517743
4,200,0.002,0.006,5e-06,-2.5169992346569914
4,200,0.003,0.006,5e-06,-3.253644582914794
4,200,0.005,0.006,5e-06,-3.328296326222957
4,200,0.0015,0.008,5e-06,-2.168959092233813
4,200,0.002,0.008,5e-06,-1.746538932231001
4,200,0.003,0.008,5e-06,-2.781421611007129
4,200,0.005,0.008,5e-06,-2.4093731771909876
4,200,0.0015,0.01,5e-06,-2.160232748111679
4,200,0.002,0.01,5e-06,-1.8834226651320396
4,200,0.003,0.01,5e-06,-2.2262037603526186
4,200,0.005,0.01,5e-06,-1.656282703236478
4,200,0.0015,0.002,1e-05,-2.4646745233495526
4,200,0.002,0.002,1e-05,-2.0866519346804058
4,200,0.003,0.002,1e-05,-2.7047409870389227
4,200,0.005,0.002,1e-05,-1.2429563561240031
4,200,0.0015,0.006,1e-05,-2.5550606123856956
4,200,0.002,0.006,1e-05,-1.495973614306778
4,200,0.003,0.006,1e-05,-2.465409818415887
4,200,0.005,0.006,1e-05,-2.9762501535242403
4,200,0.0015,0.008,1e-05,-1.5952625223963457
4,200,0.002,0.008,1e-05,-0.8734713633971491
4,200,0.003,0.008,1e-05,-2.343037730343034
4,200,0.005,0.008,1e-05,-2.2000470816380235
4,200,0.0015,0.01,1e-05,-0.6663946589434699
4,200,0.002,0.01,1e-05,-0.2376199086644215
4,200,0.003,0.01,1e-05,-0.725244463946817
4,200,0.005,0.01,1e-05,-0.3159632168121762
4,200,0.0015,0.002,5e-05,-5.663747620304083
4,200,0.002,0.002,5e-05,-3.8741212138656334
4,200,0.003,0.002,5e-05,-5.5912349226681535
4,200,0.005,0.002,5e-05,-1.0990973284051297
4,200,0.0015,0.006,5e-05,-4.341832607599294
4,200,0.002,0.006,5e-05,-4.49291450844923
4,200,0.003,0.006,5e-05,-5.920374690718743
4,200,0.005,0.006,5e-05,-2.548977902641525
4,200,0.0015,0.008,5e-05,-2.456528320995288
4,200,0.002,0.008,5e-05,-3.7032553251255207
4,200,0.003,0.008,5e-05,-5.413946750151865
4,200,0.005,0.008,5e-05,-0.9384118370837413
4,200,0.0015,0.01,5e-05,-1.6319772765893137
4,200,0.002,0.01,5e-05,-1.6429940193829262
4,200,0.003,0.01,5e-05,-3.21827449415385
4,200,0.005,0.01,5e-05,-0.4402462676351582
12,200,0.0015,0.002,1e-06,-0.3459962740382627
12,200,0.002,0.002,1e-06,0.4249204467022816
12,200,0.003,0.002,1e-06,-0.9710138291279424
12,200,0.005,0.002,1e-06,-0.4739675597193571
12,200,0.0015,0.006,1e-06,-1.1300075940548826
12,200,0.002,0.006,1e-06,-0.1840165607010169
12,200,0.003,0.006,1e-06,-0.8341986030205528
12,200,0.005,0.006,1e-06,0.8438710464903743
12,200,0.0015,0.008,1e-06,-1.9180088987202248
12,200,0.002,0.008,1e-06,-0.979557485329352
12,200,0.003,0.008,1e-06,-1.82253587839859
12,200,0.005,0.008,1e-06,-0.1611907323145645
12,200,0.0015,0.01,1e-06,-1.517944382710601
12,200,0.002,0.01,1e-06,-0.5756651401099155
12,200,0.003,0.01,1e-06,-0.6804042278551914
12,200,0.005,0.01,1e-06,1.000267908295216
12,200,0.0015,0.002,5e-06,-2.2651050352908264
12,200,0.002,0.002,5e-06,-0.5691547290278098
12,200,0.003,0.002,5e-06,-2.102411882268218
12,200,0.005,0.002,5e-06,-0.3037515302689031
12,200,0.0015,0.006,5e-06,-4.92441337503119
12,200,0.002,0.006,5e-06,-3.2481875548963424
12,200,0.003,0.006,5e-06,-4.129666787325103
12,200,0.005,0.006,5e-06,-1.8219459593774912
12,200,0.0015,0.008,5e-06,-3.5864931941392175
12,200,0.002,0.008,5e-06,-1.9372020497315678
12,200,0.003,0.008,5e-06,-3.540936286821683
12,200,0.005,0.008,5e-06,0.27360599357511006
12,200,0.0015,0.01,5e-06,-2.9544183304502036
12,200,0.002,0.01,5e-06,-1.4933581677106234
12,200,0.003,0.01,5e-06,-2.509713312333617
12,200,0.005,0.01,5e-06,1.3456094140397612
12,200,0.0015,0.002,1e-05,-1.1834378107332122
12,200,0.002,0.002,1e-05,-0.9060874377550765
12,200,0.003,0.002,1e-05,-1.6458015805905002
12,200,0.005,0.002,1e-05,-3.233259580279879
12,200,0.0015,0.006,1e-05,-3.9653487557533174
12,200,0.002,0.006,1e-05,-2.0104009914498455
12,200,0.003,0.006,1e-05,-1.7098478012628648
12,200,0.005,0.006,1e-05,-2.36735240127236
12,200,0.0015,0.008,1e-05,-4.023100028554327
12,200,0.002,0.008,1e-05,-2.314002566498552
12,200,0.003,0.008,1e-05,-1.929765236694081
12,200,0.005,0.008,1e-05,-1.5114133599234858
12,200,0.0015,0.01,1e-05,-3.9109794587857682
12,200,0.002,0.01,1e-05,-3.5781020493362514
12,200,0.003,0.01,1e-05,-2.797541118877145
12,200,0.005,0.01,1e-05,-2.7576576790545815
12,200,0.0015,0.002,5e-05,-2.092481691005643
12,200,0.002,0.002,5e-05,-4.787092023154893
12,200,0.003,0.002,5e-05,-0.45665666247275416
12,200,0.005,0.002,5e-05,2.2635116154082757
12,200,0.0015,0.006,5e-05,-1.9828270642344492
12,200,0.002,0.006,5e-05,-2.6462213639789733
12,200,0.003,0.006,5e-05,2.6728574799090854
12,200,0.005,0.006,5e-05,8.108639832701957
12,200,0.0015,0.008,5e-05,-4.734155616704694
12,200,0.002,0.008,5e-05,-4.644114225090446
12,200,0.003,0.008,5e-05,1.4600443723371104
12,200,0.005,0.008,5e-05,8.482867692375628
12,200,0.0015,0.01,5e-05,-3.8521956808322377
12,200,0.002,0.01,5e-05,-4.791003937273997
12,200,0.003,0.01,5e-05,-1.7818291836958933
12,200,0.005,0.01,5e-05,4.166595641659621
20,200,0.0015,0.002,1e-06,-0.7179740075084262
20,200,0.002,0.002,1e-06,-1.1147341806879707
20,200,0.003,0.002,1e-06,-0.5200137060650922
20,200,0.005,0.002,1e-06,-0.5734980240230225
20,200,0.0015,0.006,1e-06,-0.746950993143658
20,200,0.002,0.006,1e-06,-0.41036582060586246
20,200,0.003,0.006,1e-06,-0.6350382883700156
20,200,0.005,0.006,1e-06,-0.3245852774068525
20,200,0.0015,0.008,1e-06,-1.3394531710590463
20,200,0.002,0.008,1e-06,-1.0048772813572082
20,200,0.003,0.008,1e-06,-1.4269845357743893
20,200,0.005,0.008,1e-06,-1.1190058587494
20,200,0.0015,0.01,1e-06,-1.928044970851761
20,200,0.002,0.01,1e-06,-1.5954651031811817
20,200,0.003,0.01,1e-06,-2.2126442693429893
20,200,0.005,0.01,1e-06,-1.9071202848543134
20,200,0.0015,0.002,5e-06,1.0317296874211124
20,200,0.002,0.002,5e-06,0.12110333700532383
20,200,0.003,0.002,5e-06,2.3096557806822737
20,200,0.005,0.002,5e-06,2.5175109562633358
20,200,0.0015,0.006,5e-06,0.5938342746713454
20,200,0.002,0.006,5e-06,0.7320521435540295
20,200,0.003,0.006,5e-06,2.7286241046718507
20,200,0.005,0.006,5e-06,5.046619843155975
20,200,0.0015,0.008,5e-06,-1.0060292714070607
20,200,0.002,0.008,5e-06,-0.41298427651421665
20,200,0.003,0.008,5e-06,1.7650339389464254
20,200,0.005,0.008,5e-06,4.061286975070266
20,200,0.0015,0.01,5e-06,-2.295817762206631
20,200,0.002,0.01,5e-06,-1.4586955873933216
20,200,0.003,0.01,5e-06,0.6964523947676104
20,200,0.005,0.01,5e-06,2.9685936754074715
20,200,0.0015,0.002,1e-05,-1.065913655781936
20,200,0.002,0.002,1e-05,-2.2115810849188122
20,200,0.003,0.002,1e-05,-0.38427888711346503
20,200,0.005,0.002,1e-05,2.5630034835813387
20,200,0.0015,0.006,1e-05,-3.668963548975812
20,200,0.002,0.006,1e-05,-3.184530740357161
20,200,0.003,0.006,1e-05,-1.3290259705361906
20,200,0.005,0.006,1e-05,1.7637816960659691
20,200,0.0015,0.008,1e-05,-5.178342517387047
20,200,0.002,0.008,1e-05,-4.448676655056771
20,200,0.003,0.008,1e-05,-2.904796088156414
20,200,0.005,0.008,1e-05,-0.9166918607175001
20,200,0.0015,0.01,1e-05,-7.090745090622342
20,200,0.002,0.01,1e-05,-6.135943327963922
20,200,0.003,0.01,1e-05,-5.003614144515156
20,200,0.005,0.01,1e-05,-3.247701442397033
20,200,0.0015,0.002,5e-05,-2.663740563831829
20,200,0.002,0.002,5e-05,-4.397842084557524
20,200,0.003,0.002,5e-05,-3.120477403238242
20,200,0.005,0.002,5e-05,2.0333827223639966
20,200,0.0015,0.006,5e-05,-6.110306538004295
20,200,0.002,0.006,5e-05,-6.469347960672733
20,200,0.003,0.006,5e-05,-4.309407056084124
20,200,0.005,0.006,5e-05,0.5529068231262313
20,200,0.0015,0.008,5e-05,-10.690205146752874
20,200,0.002,0.008,5e-05,-11.633518985950552
20,200,0.003,0.008,5e-05,-10.270804891158914
20,200,0.005,0.008,5e-05,-5.949268454550872
20,200,0.0015,0.01,5e-05,-13.5139457080931
20,200,0.002,0.01,5e-05,-11.891295344057163
20,200,0.003,0.01,5e-05,-10.316228516682969
20,200,0.005,0.01,5e-05,-6.539617900655948
1,500,0.0015,0.002,1e-06,-0.5138048664414585
1,500,0.002,0.002,1e-06,-0.31476742849309014
1,500,0.003,0.002,1e-06,-0.414670559203989
1,500,0.005,0.002,1e-06,-0.8274225169151883
1,500,0.0015,0.006,1e-06,-0.39431630815340846
1,500,0.002,0.006,1e-06,-0.09498980850189964
1,500,0.003,0.006,1e-06,-0.39566531288321993
1,500,0.005,0.006,1e-06,-0.8084970825614546
1,500,0.0015,0.008,1e-06,-0.5605905717190773
