stockName,shortTerm,longTerm,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
GOLDPETAL_F1,2,250,0.01,0.008,5e-05,0.9473029184912551
GOLDPETAL_F1,3,250,0.01,0.008,5e-05,-3.244163948544976
GOLDPETAL_F1,4,250,0.01,0.008,5e-05,1.631627645074074
GOLDPETAL_F1,6,250,0.01,0.008,5e-05,-2.8811247406783758
GOLDPETAL_F1,8,250,0.01,0.008,5e-05,6.332125591332316
GOLDPETAL_F1,10,250,0.01,0.008,5e-05,7.788305954213159
GOLDPETAL_F1,12,250,0.01,0.008,5e-05,10.07055609622114
GOLDPETAL_F1,14,250,0.01,0.008,5e-05,-3.317985206530716
GOLDPETAL_F1,16,250,0.01,0.008,5e-05,1.324802714024953
GOLDPETAL_F1,2,300,0.01,0.008,5e-05,-0.7246694705217882
GOLDPETAL_F1,3,300,0.01,0.008,5e-05,3.7689865157533475
GOLDPETAL_F1,4,300,0.01,0.008,5e-05,-3.947669889740768
GOLDPETAL_F1,6,300,0.01,0.008,5e-05,-2.121958751560371
GOLDPETAL_F1,8,300,0.01,0.008,5e-05,6.411073625711494
GOLDPETAL_F1,10,300,0.01,0.008,5e-05,6.551093650625162
GOLDPETAL_F1,12,300,0.01,0.008,5e-05,0.2758806831478111
GOLDPETAL_F1,14,300,0.01,0.008,5e-05,0.11341945720086954
GOLDPETAL_F1,16,300,0.01,0.008,5e-05,2.4366875219220985
GOLDPETAL_F1,2,400,0.01,0.008,5e-05,-8.243536126784889
GOLDPETAL_F1,3,400,0.01,0.008,5e-05,-5.185909307221581
GOLDPETAL_F1,4,400,0.01,0.008,5e-05,1.980788961885871
GOLDPETAL_F1,6,400,0.01,0.008,5e-05,-1.4560514760095455
GOLDPETAL_F1,8,400,0.01,0.008,5e-05,2.208800887084039
GOLDPETAL_F1,10,400,0.01,0.008,5e-05,7.902913985283422
GOLDPETAL_F1,12,400,0.01,0.008,5e-05,1.0049657070461349
GOLDPETAL_F1,14,400,0.01,0.008,5e-05,9.897432621253355
GOLDPETAL_F1,16,400,0.01,0.008,5e-05,6.907683451295421
NC-GUARSEED10_F1,2,100,0.01,0.008,5e-05,16.239597787208957
