ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
12,100,0.002,0.002,5e-05,-16.615503328615755
12,100,0.0005,0.006,5e-05,-18.059685432512296
12,100,0.001,0.006,5e-05,-15.80823045334906
12,100,0.0015,0.006,5e-05,-15.298476198967592
12,100,0.002,0.006,5e-05,-17.734902210765537
12,100,0.0005,0.008,5e-05,-18.885655660463563
12,100,0.001,0.008,5e-05,-16.635588455473428
12,100,0.0015,0.008,5e-05,-14.777112504424073
12,100,0.002,0.008,5e-05,-19.871756661667938
12,100,0.0005,0.01,5e-05,-16.475795205174105
12,100,0.001,0.01,5e-05,-14.997601533816562
12,100,0.0015,0.01,5e-05,-13.277246639977003
12,100,0.002,0.01,5e-05,-21.039480338225648
12,100,0.0005,0.002,0.0001,-24.26752434092643
12,100,0.001,0.002,0.0001,-20.79045529072826
12,100,0.0015,0.002,0.0001,-22.86565347619326
12,100,0.002,0.002,0.0001,-21.111716101821898
12,100,0.0005,0.006,0.0001,-26.404177056432687
12,100,0.001,0.006,0.0001,-25.25173990812357
12,100,0.0015,0.006,0.0001,-23.55320471795611
12,100,0.002,0.006,0.0001,-23.67777197617338
12,100,0.0005,0.008,0.0001,-28.209178471965913
12,100,0.001,0.008,0.0001,-28.79222071127796
12,100,0.0015,0.008,0.0001,-27.210657137704864
12,100,0.002,0.008,0.0001,-25.57050985877791
12,100,0.0005,0.01,0.0001,-27.49539987262675
12,100,0.001,0.01,0.0001,-28.326567650828117
12,100,0.0015,0.01,0.0001,-29.150077565583953
12,100,0.002,0.01,0.0001,-29.294881733811007
12,100,0.0005,0.002,0.0002,-31.42242278325449
12,100,0.001,0.002,0.0002,-27.668635037959945
12,100,0.0015,0.002,0.0002,-23.453476795262684
12,100,0.002,0.002,0.0002,-22.80590373724889
12,100,0.0005,0.006,0.0002,-30.71000572605376
12,100,0.001,0.006,0.0002,-29.072325107207362
12,100,0.0015,0.006,0.0002,-23.139187000459117
12,100,0.002,0.006,0.0002,-23.236708055167256
12,100,0.0005,0.008,0.0002,-36.16447508638021
12,100,0.001,0.008,0.0002,-33.66330045992378
12,100,0.0015,0.008,0.0002,-27.05772885744826
12,100,0.002,0.008,0.0002,-23.27574470457864
12,100,0.0005,0.01,0.0002,-37.01366739780572
12,100,0.001,0.01,0.0002,-35.981890636101646
12,100,0.0015,0.01,0.0002,-31.120858594542433
